Scene No,Query,Image Index,Filename,Total Pixels,Pixels Above Threshold,Percentage Above
40753679,ball,0,Validation/40753679_ball_0_rendered.png,243960,0,0.0
40753679,ball,3,Validation/40753679_ball_3_rendered.png,243960,53,0.0217
40753679,ball,14,Validation/40753679_ball_14_rendered.png,243960,0,0.0
40753679,ball,21,Validation/40753679_ball_21_rendered.png,243960,105,0.043
40753679,ball,23,Validation/40753679_ball_23_rendered.png,243960,87,0.0357
40753679,ball,33,Validation/40753679_ball_33_rendered.png,243960,854,0.3501
40753679,ball,34,Validation/40753679_ball_34_rendered.png,243960,180,0.0738
40753679,ball,39,Validation/40753679_ball_39_rendered.png,243960,9388,3.8482
40753679,ball,42,Validation/40753679_ball_42_rendered.png,243960,0,0.0
40753679,ball,43,Validation/40753679_ball_43_rendered.png,243960,0,0.0
40753679,ball,49,Validation/40753679_ball_49_rendered.png,243960,0,0.0
40753679,ball,56,Validation/40753679_ball_56_rendered.png,243960,986,0.4042
40753679,ball,57,Validation/40753679_ball_57_rendered.png,243960,545,0.2234
40753679,ball,64,Validation/40753679_ball_64_rendered.png,243960,3293,1.3498
40753679,ball,69,Validation/40753679_ball_69_rendered.png,243960,91,0.0373
40753679,door,0,Validation/40753679_door_0_rendered.png,243960,0,0.0
40753679,door,1,Validation/40753679_door_1_rendered.png,243960,0,0.0
40753679,door,5,Validation/40753679_door_5_rendered.png,243960,0,0.0
40753679,door,10,Validation/40753679_door_10_rendered.png,243960,0,0.0
40753679,door,12,Validation/40753679_door_12_rendered.png,243960,96,0.0394
40753679,door,20,Validation/40753679_door_20_rendered.png,243960,0,0.0
40753679,door,26,Validation/40753679_door_26_rendered.png,243960,0,0.0
40753679,door,27,Validation/40753679_door_27_rendered.png,243960,0,0.0
40753679,door,30,Validation/40753679_door_30_rendered.png,243960,112,0.0459
40753679,door,31,Validation/40753679_door_31_rendered.png,243960,9348,3.8318
40753679,door,32,Validation/40753679_door_32_rendered.png,243960,3262,1.3371
